companies,locations,works
4Clinics,Morocco,Ingénieure d'Etat en Statistique et Economie Appliquée
Institut National de Statistique et d'Economie Appliquée (INSEA),"Rabat-Salé-Kenitra, Morocco",Ingénieur d'état en recherche opérationnelle et aide à la décision
Institut National de Statistique et d'Economie Appliquée (INSEA),Morocco,"INGÉNIEUR D'ÉTAT EN INFORMATIQUE , DÉVELOPPEUR"
National Institute of Statistics and Applied Economics,"Rabat, Rabat-Salé-Kenitra, Morocco",Engineer in Actuarial Science & Finance
AXA Partners,"Casablanca-Settat, Morocco",Data Analyst / Actuary  @AXA Partners
Morocco,Morocco,Student at Institut National de Statistique et d'Economie Appliquée (INSEA)
Institut National de Statistique et d'Economie Appliquée (INSEA),Morocco,Full stack developer
Institut National de Statistique et d'Economie Appliquée (INSEA),"Casablanca-Settat, Morocco",Ingénieur d'Etat en Recherche Opérationnelle et Aide à la Décision
Teal Technology Services (IBM & OCP JV),"Meknes, Fès-Meknès, Morocco",Cloudera Data Platform/Hadoop administration
ADN,Morocco,Statisticien/ Data analyst
Attijariwafa bank,Rabat Metropolitan Area,Ingénieure d'Etat en statistique et économie appliquée.
CIH BANK,"Rabat-Salé-Kenitra, Morocco",Ingénieur d'état diplômé de l'INSEA
Mohammed VI Polytechnic University,"Marrakesh-Safi, Morocco",Machine Learning engineer  chez Mohammed VI Polytechnic University
Direction Générale des Impôts,Morocco,Ingénieur d'état (Direction Générale des Impôts)
UCA,"Marrakesh, Marrakesh-Safi, Morocco",Statistical engineer
Confidential,Morocco,PhD in Applied Mathematics_Data Scientist & Financial Markets
Institut National de Statistique et d'Economie Appliquée (INSEA),"Prefecture of Casablanca, Casablanca-Settat, Morocco",Ingénieur d'Etat en statistique-économie appliquée
Institut National de la Statistique et d'économie Appliquée,Morocco,Engineer
Mohammed VI Polytechnic University,Morocco,Postgraduate Student at Mohammed VI Polytechnic University (UM6P) | Engineer in Statistics - Applied Economics
